PDL;tarif;adresse;ref contrat;lieu dit;duplicata;codepostal;ville;georef_lon;georef_lat;georef_engine;georef_label;georef_found
19390014379351;tb;halte garderie 21 florian bernard;1 3EZW 716;rose et les choux;;38350;la mure;5.790412;44.903322;data.gouv.fr;21 Rue Florin Bernard 38350 La Mure;1
19388856657110;tb;centre aere  bl les trois saules;1 8IL 1426;centre aere;;38350;la mure;5.795634;44.901766;data.gouv.fr;Résidence les Trois Saules 38350 La Mure;1
19389580246118;tb;garage communal route de pruniere;1 8IL 1427;garage service technique;;38350;la mure;5.82411;44.934167;data.gouv.fr;Route de la Mure 38350 Nantes-en-Ratier;1
19343994193776;tb;buvette  jeu de boule rue des capucin;1 9W5 2654;buvette boulle;;38350;la mure;5.792112;44.90477;data.gouv.fr;Rue du Jeu de Boules 38350 La Mure;1
19344283629308;tb;borne forain place cesar joubert;1 9W5 2655;borne forain;;38350;la mure;5.786922;44.905241;data.gouv.fr;Place César Joubert 38350 La Mure;1
19392040448773;tb;ecole de musique  2 av des plantations;1 ANB 215;ecole de music;;38350;la mure;5.785991;44.901991;data.gouv.fr;2 Avenue des Plantations 38350 La Mure;1
19390159117355;tb;garage  la roche;1 BXJ 2938;;;38350;la mure;5.785004;44.905403;data.gouv.fr;Grande Rue 38350 La Mure;1
19391316859775;tb;logement de fonction  26 av des plantations;1 BXJ 2939;apparte complexe;;38350;la mure;5.789168;44.89713;data.gouv.fr;26 Avenue des Plantations 38350 La Mure;1
19390737988533;tb;groupe scolaire  22 av des plantations;1 COG 559;ecole bastion;;38350;la mure;5.787092;44.898313;data.gouv.fr;22 Avenue des Plantations 38350 La Mure;1
19342981169199;tb;coffret forain  35 grand rue;1 COG 561;coffret marche;;38350;la mure;5.785062;44.905103;data.gouv.fr;35 Grande Rue 38350 La Mure;1
19391172141943;tb;vestiaires tennis club  24 av des plantations;1 PTK 2111;tennis;;38350;la mure;5.788669;44.897692;data.gouv.fr;24 Avenue des Plantations 38350 La Mure;1
30001934130012;tj;aires gens du voyages  za des marais;1 B816P7;aires gens du voyage;;38350;la mure;0;0;;;0
30001930705599;tj;stade zewulko;1 ID9 2470;stade zewulko;;38350;la mure;5.787579;44.895901;data.gouv.fr;Boulevard du Stade 38350 La Mure;1
30001931696811;tj;st beauregard;1 4T8814;magasin st;;38350;la mure;5.778148;44.900734;data.gouv.fr;Beauregard 38350 La Mure;1
30001930130743;tj;complexe sport sagnette  ?;1 IDH 2446;;;38350;la mure;5.784099;44.896796;data.gouv.fr;Les Sagnettes 38350 La Mure;1
19362228636701;tb;1grand rue;1 JZ9D24;ex esquisse;;38350;la mure;5.785004;44.905403;data.gouv.fr;Grande Rue 38350 La Mure;1
19386685871957;tb;panneau lumineux av du 22 aout 1944;1 HD9JGS;panneau lumineux;;38350;la mure;5.783951;44.916674;data.gouv.fr;Avenue du 22 Août 1944 38350 La Mure;1
30001931533164;TJ;stade maurice lira;1 1PLLSQ;stade lira;;38350;la mure;5.785004;44.905403;data.gouv.fr;Grande Rue 38350 La Mure;1
30001930814066;tj;theatre municipal;1 ID7 3431;theatre;;38350;la mure;5.786028;44.901927;data.gouv.fr;Rue du Théâtre 38350 La Mure;1
19350216990340;tb;ep pre neuf  zi les marais;1 1FZ4 2029;ep;;38350;la mure;5.784713;44.931781;data.gouv.fr;Les Marais 38350 La Mure;1
19376266208612;tb;ep lotissement clapet caillat;1 332Q 17;ep;;38350;la mure;5.785355;44.895152;data.gouv.fr;LOTISSEMENT CLAPIER CAILLAT 38350 La Mure;1
19303183783907;tb;ep 27 rue de l,eglise;1 3PY 2270;ep;;38350;la mure;5.787328;44.906228;data.gouv.fr;Rue de l'Église 38350 La Mure;1
19388277785989;tb;ep rue des theneveaux;1 3R6 87;ep;;38350;la mure;5.78824;44.904294;data.gouv.fr;Rue des Hers 38350 La Mure;1
19350072260024;tb;ep poste château  bd auguste vial;1 4D7U 92;ep;;38350;la mure;5.783052;44.902426;data.gouv.fr;Boulevard Auguste Vial 38350 La Mure;1
19309551338473;tb;ep route de pierre chatel;17272008;ep;;38350;la mure;5.82411;44.934167;data.gouv.fr;Route de la Mure 38350 Nantes-en-Ratier;1
19309696056218;tb;ep lotissement les castors;17272009;ep;;38350;la mure;5.785568;44.915249;data.gouv.fr;Lotissement les Castors 38350 La Mure;1
19311287952048;tb;ep pont de la maladiere;17272010;ep;;38350;la mure;5.783514;44.913568;data.gouv.fr;Rue du Pont de la Maladière 38350 La Mure;1
19311577387631;tb;ep rue du jeux de quille ( poste mairie);17272011;ep;;38350;la mure;5.7837;44.90548;data.gouv.fr;Rue du Jeu de Quilles 38350 La Mure;1
19388711939375;tb;ep bd des trois saules;17272012;ep;;38350;la mure;5.790531;44.897742;data.gouv.fr;3 Boulevard des Trois Saules 38350 La Mure;1
19389001374998;tb;ep  les trois saules;17272013;ep;;38350;la mure;5.795634;44.901766;data.gouv.fr;Résidence les Trois Saules 38350 La Mure;1
19389290810589;tb;ep lotissement de l, olan;17272014;ep;;38350;la mure;5.79446;44.900817;data.gouv.fr;Lotissement de l'Olan 38350 La Mure;1
19390593270701;tb;ep poste des sagnettes;17272015;ep;;38350;la mure;5.786461;44.898639;data.gouv.fr;Allée des Sagnettes 38350 La Mure;1
19391895730994;tb;ep bd du stade (poste caillat);17272015;ep;;38350;la mure;5.787579;44.895901;data.gouv.fr;Boulevard du Stade 38350 La Mure;1
19310853798655;tb;ep 2 rue jean jaures (poste gare);17pt491;ep;;38350;la mure;5.78395;44.909674;data.gouv.fr;2 Rue Jean Jaurès 38350 La Mure;1
19302026041500;tb;ep rue abbe dussert (le genevrey);17pt4192;ep;;38350;la mure;5.790343;44.908313;data.gouv.fr;Rue Abbé Dussert 38350 La Mure;1
19387988350390;tb;ep rue des bastions;17pt4193;ep;;38350;la mure;5.787244;44.90367;data.gouv.fr;Rue des Bastions 38350 La Mure;1
19302894348301;tb;ep rue charle albert (res les accacias);18iv3012;ep;;38350;la mure;5.794608;44.907801;data.gouv.fr;Rue Charles Albert 38350 La Mure;1
19387120043504;tb;ep rue hers;18iv3013;ep;;38350;la mure;5.78824;44.904294;data.gouv.fr;Rue des Hers 38350 La Mure;1
19387843632545;tb;ep chemin des arraignees pres des moines;18iv3014;ep;;38350;la mure;5.793109;44.90277;data.gouv.fr;Chemin des Araignées 38350 La Mure;1
19390448552945;tb;ep av general de gaule (ex gendarmerie);18iv3015;ep;;38350;la mure;5.784656;44.900471;data.gouv.fr;Avenue du Général de Gaulle 38350 La Mure;1
19301881323727;tb;ep montee de la citadelle (poste j eymard);19wh15;ep;;38350;la mure;5.788049;44.907703;data.gouv.fr;Montée de la Citadelle 38350 La Mure;1
19387698914765;tb;ep alle des victoires (poste hlm petrus richaud);19wh16;ep;;38350;la mure;5.787646;44.902541;data.gouv.fr;Allée des Victoires 38350 La Mure;1
19302604912707;tb;ep av docteur tagnard (poste condamine;1anl1202;ep;;38350;la mure;0;0;;;0
19390303835115;tb;ep lotissement mitral;1anl1203;ep;;38350;la mure;5.782789;44.899582;data.gouv.fr;Lotissement le Mitral 38350 La Mure;1
19391606295399;tb;ep bd du stade (poste du stade);1anl1204;ep;;38350;la mure;5.787579;44.895901;data.gouv.fr;Boulevard du Stade 38350 La Mure;1
19310274927457;tb;ep zi de la mouche;1b934648;ep;;38350;la mure;5.865516;45.021227;data.gouv.fr;Route de la Mure 38350 La Morte;1
19302170759330;tb;ep clos chalon (poste clos chalon);1bxv4271;ep;;38350;la mure;5.784427;44.904263;data.gouv.fr;Rue Colonel Escallon 38350 La Mure;1
19389435528351;tb;ep lycee jardin de ville;1bxv4272;ep;;38350;la mure;5.788246;44.906342;data.gouv.fr;Rue des Jardins 38350 La Mure;1
19389869681796;tb;ep  poste la roche;1bxv4273;ep;;38350;la mure;5.862929;45.02374;data.gouv.fr;Route de la Mure, LA BLACHE 38350 La Morte;1
19311432669897;tb;ep rue du bon repos;1coq1990;ep;;38350;la mure;5.78366;44.907503;data.gouv.fr;Rue du Bon Repos 38350 La Mure;1
19302460194940;tb;ep av du docteur tagnard poste le sauze;1coq1991;ep;;38350;la mure;0;0;;;0
19302749630551;tb;ep cite la condamine poste obiou;1coq1992;ep;;38350;la mure;0;0;;;0
19388422503787;tb;ep hlm pre sabot;1coq1993;ep;;38350;la mure;5.794929;44.905223;data.gouv.fr;Pré Sabot 38350 La Mure;1
19310709080825;tb;ep cimon 4 poste cimon;1dfw3614;ep;;38350;la mure;5.78524;44.910636;data.gouv.fr;Groupe Cimon 38350 La Mure;1
19388567221521;tb;ep av des plantations poste stade;1dfw3615;ep;;38350;la mure;0;0;;;0
19389146092745;tb;ep lotissement du trive;1dfw3616;ep;;38350;la mure;5.795792;44.901798;data.gouv.fr;Lotissement du Trieves 38350 La Mure;1
19308104109250;tb;ep jonche lotissement de la jonche;1c51f3f;ep;;38350;la mure;5.784128;44.906279;data.gouv.fr;Rue de Jonche 38350 La Mure;1
30001934130012;tj;aire gens du voyages chemin du pre neuf za les marais;;aire gens du voyage;;38350;la mure;0;0;;;0
19312590412262;tb;ex bibliotheque municipale 10 rue st jaques;;ex bibliotheque;;38350;la mure;5.784229;44.904986;data.gouv.fr;10 Rue Saint-Jacques 38350 La Mure;1
19318089616747;tb;camera video protection 1 passage de la conferie (pl bethoux);;camera pl bethoux;;38350;la mure;5.787122;44.905941;data.gouv.fr;1 Passage de la Confrérie 38350 La Mure;1
19356005752437;tb;station de reprise les castors 516b 01;12xtf3752;station de reprise castors;;38350;la mure;5.785568;44.915249;data.gouv.fr;Lotissement les Castors 38350 La Mure;1
19359768415253;tb;station d epuration zi de la mouche;12xtf3755;station d ep zi la mouche;;38350;la mure;0;0;;;0
19360492004279;tb;station relevage des marais zi de la mouche;12xtf3756;station de relevage marais;;38350;la mure;0;0;;;0
19385528175328;tb;station de relevage inoseta mairie zi susville;132qv1631;station de relevage inoseta;;38350;la mure;0;0;;;0
19383646804741;tb;relais radio chemin du calvaire;1 19lh 592;relais radio;;38350;la mure;5.785163;44.906909;data.gouv.fr;Chemin du Calvaire 38350 La Mure;1
19389724963941;tb;local communal la roche;1 9w5 2652;;;38350;la mure;5.862929;45.02374;data.gouv.fr;Route de la Mure, LA BLACHE 38350 La Morte;1
19333140281790;tb;local petanque mairie rue des capucins;134d6812;petanque;;38350;la mure;5.78588;44.904404;data.gouv.fr;Rue des Capucins 38350 La Mure;1
19343125886949;tb;club 3eme age 7 rue murette ilot balme;171x995;club belle epoque;;38350;la mure;0;0;;;0
19357742384972;tb;local communal 24 place perouzat;182874j;;;38350;la mure;5.786156;44.90608;data.gouv.fr;24 Place Perouzat 38350 La Mure;1
19343849475989;tb;ecole rue des capucins;1bxz1099;ecole capucins;;38350;la mure;5.7855914;44.9036425;nominatim;École primaire Les Capucins, Rue Lesdiguières, Pré Froment, Les Marais, La Mure, Grenoble, Isère, Rhône-Alpes, France métropolitaine, 38350, France;1
19312879847814;tb;bureau technique ancien cafes 8 rue magdelaine;;;en double;38350;la mure;5.785279;44.906278;data.gouv.fr;Rue Magdeleine 38350 La Mure;1
19391461577531;tb;club de tir  av des plantation;;club de tir;en double;38350;la mure;5.788473;44.898817;data.gouv.fr;Avenue des Plantations 38350 La Mure;1
19343415322591;tb;atelier st;1cq84284;atelier st;;38350;la mure;5.794929;44.905223;data.gouv.fr;Pré Sabot 38350 La Mure;1
